,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.815EGM7,1.0658141036401502e-16,-1.475222060911446e-16,1.3716012452797646e-17,0.0,0.0,0.0015851617733406089,0.327299512822922,0.014261248733392773,0.0012038817030324686,0.010434608802984033,0.6452155861643016,2.625,EGM7,0.815
0.815EGM8,1.0658141036401502e-16,0.0,1.3716012452797646e-17,0.0,0.0,0.0015846772119340732,0.3272999973843285,0.014261248733392773,0.0012038817030324686,0.010434608802984033,0.6452155861643016,2.625,EGM8,0.815
0.82EGM1,4.579988031303167e-17,-1.4791665049245784e-16,0.0,0.0,0.0,0.0015804514060355833,0.3271603437279894,0.01385180384106122,0.001169317884429132,0.010416556488478041,0.6458215266519804,2.618,EGM1,0.82
0.82EGM2,-9.159976062606334e-17,0.0,0.0,0.0,0.0,0.0015804514060355833,0.32716217324934244,0.013893933360471303,0.0011692396953298509,0.010415859961741996,0.6457783423270526,2.618,EGM2,0.82
0.82EGM3,3.053325354202111e-17,0.0,1.3752686282885343e-17,0.0,0.0,0.0015804514060355833,0.32716217324934244,0.013850877608699458,0.0012122954471016972,0.010415859961741996,0.6457783423270526,2.618,EGM3,0.82
0.82EGM4,-1.5266626771010556e-16,1.4791665049245784e-16,1.3752686282885343e-17,0.0001722248671557208,0.0,0.0015804514060355833,0.3271263496687167,0.01386901402434374,0.0011707707042450533,0.010414066091643772,0.6456671232378333,2.618,EGM4,0.82
0.82EGM5,-9.159976062606334e-17,0.0,0.0,0.0,0.0,0.0015804514060355833,0.32716217324934244,0.013850877608699458,0.0011692396953298509,0.010458915713513843,0.6457783423270526,2.618,EGM5,0.82
0.82EGM6,3.053325354202111e-17,7.395832524622892e-17,1.3752686282885343e-17,0.0,4.3055751771806563e-05,0.0015804514060355833,0.32716217324934244,0.01385087760869946,0.001169239695329851,0.010415859961741996,0.6457783423270526,2.618,EGM6,0.82
0.82EGM7,-9.159976062606334e-17,0.0,0.0,0.0,0.0,0.0016235071578074298,0.32716217324934244,0.013850877608699455,0.0011692396953298509,0.010415859961741996,0.6457783423270526,2.618,EGM7,0.82
0.82EGM8,-9.159976062606334e-17,0.0,0.0,0.0,0.0,0.0015804514060355833,0.3272052290011144,0.013850877608699455,0.0011692396953298509,0.010415859961741996,0.6457783423270526,2.618,EGM8,0.82
0.825EGM1,7.653778032651404e-17,-7.415660493857805e-17,1.378955675549361e-17,0.0,0.0,0.001576225600137093,0.32701864518683976,0.013443639532276555,0.0011348621679373367,0.010398463126222602,0.6464281643865606,2.611,EGM1,0.825
0.825EGM2,7.653778032651404e-17,1.483132098771561e-16,1.378955675549361e-17,0.0,0.0,0.001576225600137093,0.3270225171538045,0.013535707126451165,0.0011346966898963674,0.010396946891603248,0.6463339065380814,2.611,EGM2,0.825
0.825EGM3,7.653778032651404e-17,0.0,-1.378955675549361e-17,0.0,0.0,0.001576225600137093,0.3270225171538045,0.01344167927032039,0.0012287245460271433,0.010396946891603248,0.6463339065380816,2.611,EGM3,0.825
0.825EGM4,-1.9899822884893652e-16,1.483132098771561e-16,1.378955675549361e-17,0.0003770465827111689,0.0,0.001576225600137093,0.3269440222238309,0.013481418923674434,0.0011380513639822182,0.01039302675830714,0.646090208547331,2.611,EGM4,0.825
0.825EGM5,7.653778032651404e-17,7.415660493857805e-17,1.378955675549361e-17,0.0,0.0,0.001576225600137093,0.3270225171538045,0.01344167927032039,0.0011346966898963674,0.010490974747734028,0.6463339065380814,2.611,EGM5,0.825
0.825EGM6,-1.683831167183309e-16,-1.483132098771561e-16,-1.378955675549361e-17,0.0,9.402785613079164e-05,0.001576225600137093,0.32702251715380454,0.013441679270320393,0.0011346966898963674,0.01039694689160325,0.6463339065380816,2.611,EGM6,0.825
0.825EGM7,7.653778032651404e-17,2.2246981481573415e-16,1.378955675549361e-17,0.0,0.0,0.0016702534562678686,0.3270225171538045,0.01344167927032039,0.0011346966898963674,0.010396946891603248,0.6463339065380814,2.611,EGM7,0.825
0.825EGM8,7.653778032651404e-17,7.415660493857805e-17,1.378955675549361e-17,0.0,0.0,0.001576225600137093,0.32711654500993526,0.01344167927032039,0.0011346966898963674,0.010396946891603248,0.6463339065380814,2.611,EGM8,0.825
